CustomerID,Recommendations
C0001,"C0016: 1.00, C0022: 0.99, C0007: 0.97"
C0002,"C0008: 0.99, C0011: 0.97, C0017: 0.97"
C0003,"C0018: 0.99, C0024: 0.97, C0009: 0.93"
C0004,"C0019: 0.97, C0013: 0.97, C0007: 0.95"
C0005,"C0014: 1.00, C0020: 1.00, C0023: 0.99"
C0006,"C0012: 0.98, C0021: 0.97, C0003: 0.84"
C0007,"C0013: 1.00, C0022: 0.99, C0016: 0.99"
C0008,"C0011: 1.00, C0017: 0.99, C0002: 0.99"
C0009,"C0015: 1.00, C0024: 0.99, C0018: 0.98"
C0010,"C0025: 0.97, C0019: 0.93, C0004: 0.83"
C0011,"C0017: 1.00, C0008: 1.00, C0002: 0.97"
C0012,"C0006: 0.98, C0003: 0.93, C0021: 0.91"
C0013,"C0007: 1.00, C0022: 0.98, C0016: 0.98"
C0014,"C0020: 1.00, C0005: 1.00, C0023: 1.00"
C0015,"C0009: 1.00, C0024: 0.99, C0018: 0.96"
C0016,"C0022: 1.00, C0001: 1.00, C0007: 0.99"
C0017,"C0011: 1.00, C0008: 0.99, C0002: 0.97"
C0018,"C0024: 0.99, C0003: 0.99, C0009: 0.98"
C0019,"C0025: 0.99, C0004: 0.97, C0010: 0.93"
C0020,"C0014: 1.00, C0005: 1.00, C0023: 1.00"
